Full Name,Political Affiliation,Represented State,Politician Age,Years Served,Votes Received,Legislation Passed,Speeches Given,Bills Sponsored,Committees Joined
Emily Davis,Independent,Texas,31,12,11399,1,49,3,8
Jeffrey Anderson,Independent,New York,66,20,38643,17,6,8,5
Karen Perez,Libertarian,California,36,10,14475,1,6,4,8
Christopher Wilson,Independent,Florida,56,10,28176,17,11,9,2
Larry Hall,Republican,Texas,54,6,47575,9,24,10,7
Robert Williams,Republican,Florida,37,11,41387,2,32,12,7
Kevin King,Democratic,Florida,37,8,21972,5,14,7,2
Helen Taylor,Democratic,Ohio,45,2,14877,19,49,6,8
Kenneth Davis,Democratic,Texas,36,19,18247,1,17,14,9
Matthew Anderson,Independent,Texas,44,9,41240,11,17,6,5
Kenneth Davis,Democratic,Florida,69,4,10748,13,50,2,4
Margaret Moore,Independent,Ohio,35,9,13846,11,15,14,4
Ronald Anderson,Democratic,Ohio,38,13,36884,9,36,10,6
Dorothy Young,Democratic,New York,52,2,32167,10,42,6,2
Jason Green,Independent,California,66,20,12692,14,33,14,5
Dorothy Lopez,Libertarian,California,48,3,24940,9,13,13,6
Anthony Allen,Democratic,California,55,13,26609,4,43,11,1
Donna Lewis,Democratic,California,39,20,45522,11,18,2,8
Michael Brown,Independent,Ohio,41,11,16953,6,21,15,9
Michelle Wilson,Republican,Texas,68,20,32995,17,42,5,3
Dorothy Young,Libertarian,Florida,40,13,47258,2,27,3,3
Sharon Taylor,Democratic,California,63,18,28327,9,11,3,9
Lisa Harris,Libertarian,California,42,13,15464,10,16,12,3
Laura White,Libertarian,California,28,8,47092,9,22,10,9
Nancy Thompson,Independent,Ohio,62,4,35373,19,46,9,9
Mark Martinez,Libertarian,Florida,60,15,31711,4,7,2,1
Susan Lee,Independent,Texas,32,14,34788,6,10,4,7
Jessica Anderson,Republican,Texas,32,9,32099,4,28,14,4
Sarah Johnson,Republican,Texas,43,20,33756,7,15,13,7
Thomas Scott,Democratic,New York,33,16,14653,6,49,7,6
Nancy Thompson,Libertarian,California,63,4,15049,18,47,15,4
Dorothy Lopez,Republican,Ohio,64,8,45652,14,38,3,8
Kevin King,Democratic,NA,52,4,11650,8,33,5,8
Edward Martinez,Democratic,Texas,69,13,24240,13,17,14,10
Kevin King,Democratic,California,65,9,43704,6,34,14,3
Susan Lee,Libertarian,Ohio,30,16,21528,20,25,10,5
Jeffrey Anderson,Independent,Florida,36,13,31981,14,36,3,7
Kenneth Davis,Democratic,California,54,20,21538,9,15,6,6
Donald Hernandez,Independent,New York,54,7,46853,19,11,7,10
